Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
2/22/2024,6,3,,1505.08,0.0105,,,,,,,0.00430365,34,7.2,0.5,2349.947218,24.89766208,99.06695228,1.532651007,299.9869403,32.62958389,,,,,,,,,,,,
2/22/2024,7,3,,1505.08,0.0105,,,,,,,0.006013582,34,7.2,0.5,2056.722249,24.82655677,97.73202363,1.289332429,302.8635144,31.24653795,,,,,,,,,,,,
2/22/2024,8,3,,1505.08,0.0105,,,,,,,0.00536523,34,7.2,0.5,2167.699781,24.75644024,98.26566871,1.399894192,301.9625164,31.7341656,,,,,,,,,,,,
2/22/2024,9,3,,1505.08,0.0105,,,,,,,0.005548193,34,7.2,0.5,2077.716066,24.83043871,98.16747902,1.331132859,303.2363065,31.37142798,,,,,,,,,,,,
2/22/2024,10,3,,1505.08,0.0105,,,,,,,0.005875627,34,7.2,0.5,2041.823417,24.86500724,97.99568732,1.29931041,303.3294835,31.3044383,,,,,,,,,,,,
2/22/2024,11,3,,1505.08,0.0105,,,,,,,0.006212699,34,7.2,0.5,2067.230113,24.66705537,97.89268456,1.463855126,302.7195154,31.34756368,,,,,,,,,,,,
2/22/2024,12,3,,1505.08,0.0105,,,,,,,0.005577497,34,7.2,0.5,2159.225964,24.59813465,98.33420961,1.609425144,301.8976034,31.7574629,,,,,,,,,,,,
2/22/2024,13,3,,1505.08,0.0105,,,,,,,0.006351434,34,7.2,0.5,2072.948783,24.10093279,97.93451692,1.717104994,302.6868404,31.46803123,,,,,,,,,,,,
2/22/2024,14,3,,1505.08,0.0105,,,,,,,0.00698157,34,7.2,0.5,2091.917215,23.93482466,97.80306455,2.007053141,301.5841192,31.62536179,,,,,,,,,,,,
2/22/2024,15,3,,1505.08,0.0105,,,,,,,0.006676885,34,7.2,0.5,1982.806356,24.54893145,97.56948099,1.496909051,303.5015825,30.99981389,,,,,,,,,,,,
2/22/2024,16,3,,1505.08,0.0105,,,,,,,0.006237018,34,7.2,0.5,2125.339546,23.95854079,97.9400142,1.748358416,302.3942643,31.4431344,,,,,,,,,,,,
2/22/2024,17,3,,1505.08,0.0105,,,,,,,0.006135693,34,7.2,0.5,2160.677737,23.81967609,98.38014234,2.037861109,301.6503279,31.94582469,,,,,,,,,,,,
2/22/2024,18,3,,1505.08,0.0105,,,,,,,0.006717898,34,7.2,0.5,2019.559818,24.01775244,97.8654049,1.7940539,303.274344,31.27655629,,,,,,,,,,,,
2/22/2024,19,3,,1505.08,0.0105,,,,,,,0.006701285,34,7.2,0.5,2117.733454,23.49452414,97.95461635,2.149408258,302.0050585,31.56890786,,,,,,,,,,,,
2/22/2024,20,3,,1505.08,0.0105,,,,,,,0.006221185,34,7.2,0.5,2111.196818,23.84916055,98.42225543,1.977086915,302.5275762,31.77345909,,,,,,,,,,,,
2/22/2024,21,3,,1505.08,0.0105,,,,,,,0.006812378,34,7.2,0.5,2124.46911,23.57021139,98.07092943,2.248103116,301.4161334,31.83356106,,,,,,,,,,,,
2/22/2024,22,3,,1505.08,0.0105,,,,,,,0.00631401,34,7.2,0.5,2084.366401,24.24797927,97.99965119,1.80859076,302.6396248,31.32877781,,,,,,,,,,,,
2/22/2024,23,3,,1505.08,0.0105,,,,,,,0.00680302,34,7.2,0.5,2053.083037,24.15348704,97.6222135,1.817528403,302.511933,31.17967737,,,,,,,,,,,,
2/22/2024,24,3,,1505.08,0.0105,,,,,,,0.006826724,34,7.2,0.5,2035.519036,24.06539195,97.61640845,1.837251867,303.0335426,30.99988994,,,,,,,,,,,,
2/22/2024,1,4,,2119.61,0.008,,,,,,,0.008,34,7.2,0.5,2548.018123,24.49339846,96.62036986,0.439494523,308.0297983,35.22550997,,,,,,,,,,,,
2/22/2024,2,4,,2119.61,0.008,,,,,,,0.008,34,7.2,0.5,2786.005344,24.16048903,97.65838659,0.811045113,307.1123947,38.1508856,,,,,,,,,,,,
2/22/2024,3,4,,2119.61,0.008,,,,,,,0.008,34,7.2,0.5,2795.645992,24.08747132,97.71370544,1.058320052,306.7689755,38.29221439,,,,,,,,,,,,
