Experiment,Batch,Day,iVCC,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Bolus_Feed,Normalized_Bolus_Feed,Volume
MPC25-001,MPC25-001-018,2,0.5,7.3,7.15,7.45,36.5,0,0,205.66
MPC25-001,MPC25-001-018,3,0.5,7.3,7.15,7.45,36.5,9.572727273,0.045772459,209.1372727
MPC25-001,MPC25-001-018,4,0.5,7.3,7.15,7.45,36.5,0,0,204.2772727
MPC25-001,MPC25-001-018,5,0.5,7.3,7.15,7.45,36.5,0,0,207.0472727
MPC25-001,MPC25-001-018,6,0.5,7.3,7.15,7.45,35,12.02727273,0.057134467,210.5081818
MPC25-001,MPC25-001-018,7,0.5,7.3,7.15,7.45,35,0,0,203.7481818
MPC25-001,MPC25-001-018,8,0.5,7.3,7.15,7.45,35,12.02727273,0.057683692,208.5038636
MPC25-001,MPC25-001-018,9,0.5,7.3,7.15,7.45,35,0,0,201.7838636
MPC25-001,MPC25-001-018,10,0.5,7.3,7.15,7.45,35,10.8,0.052575037,205.4206818
MPC25-001,MPC25-001-018,11,0.5,7.3,7.15,7.45,35,0,0,199.6806818
MPC25-001,MPC25-001-018,12,0.5,7.3,7.15,7.45,35,9.572727273,0.047070341,203.3706818
MPC25-001,MPC25-001-018,13,0.5,7.3,7.15,7.45,35,0,0,198.5806818
MPC25-001,MPC25-001-018,14,0.5,7.3,7.15,7.45,35,0,0,204.3206818
MPC25-001,MPC25-001-019,0,0.5,6.9,6.75,7.05,36.5,0,0,200
MPC25-001,MPC25-001-019,1,0.5,6.9,6.75,7.05,36.5,0,0,202.8233333
MPC25-001,MPC25-001-019,2,0.5,6.9,6.75,7.05,36.5,0,0,205.66
MPC25-001,MPC25-001-019,3,0.5,6.9,6.75,7.05,36.5,6.027272727,0.028998269,207.8493939
MPC25-001,MPC25-001-019,4,0.5,6.9,6.75,7.05,35,0,0,202.9893939
MPC25-001,MPC25-001-019,5,0.5,6.9,6.75,7.05,35,0,0,205.7593939
MPC25-001,MPC25-001-019,6,0.5,6.9,6.75,7.05,35,7.572727273,0.036418113,207.9384848
MPC25-001,MPC25-001-019,7,0.5,6.9,6.75,7.05,35,0,0,201.1784848
MPC25-001,MPC25-001-019,8,0.5,6.9,6.75,7.05,35,7.572727273,0.037089794,204.172803
MPC25-001,MPC25-001-019,9,0.5,6.9,6.75,7.05,35,0,0,197.452803
