Code_Execution_Date,Bioreactor,Day,Date,Variable,Value
1/7/2026,FER027,11,,IGG--STATE_MOD,-60.74281609
1/7/2026,FER027,12,,IGG--STATE_MOD,-91.76548659
1/7/2026,FER027,13,,IGG--STATE_MOD,-161.8724658
1/7/2026,FER027,14,,IGG--STATE_MOD,-208.766296
1/7/2026,FER027,0,,VCC--STATE_MOD,0
1/7/2026,FER027,1,,VCC--STATE_MOD,0.068948819
1/7/2026,FER027,2,,VCC--STATE_MOD,0.39510677
1/7/2026,FER027,3,,VCC--STATE_MOD,0.383587508
1/7/2026,FER027,4,,VCC--STATE_MOD,0.668194685
1/7/2026,FER027,5,,VCC--STATE_MOD,0.550576826
1/7/2026,FER027,6,,VCC--STATE_MOD,0.415771399
1/7/2026,FER027,7,,VCC--STATE_MOD,0.436696316
1/7/2026,FER027,8,,VCC--STATE_MOD,-0.057240928
1/7/2026,FER027,9,,VCC--STATE_MOD,0.391817898
1/7/2026,FER027,10,,VCC--STATE_MOD,0.384366581
1/7/2026,FER027,11,,VCC--STATE_MOD,0.05482848
1/7/2026,FER027,12,,VCC--STATE_MOD,0.837629335
1/7/2026,FER027,13,,VCC--STATE_MOD,0.676064248
1/7/2026,FER027,14,,VCC--STATE_MOD,0.707471309
1/7/2026,FER027,0,,VIABILITY--STATE_MOD,0
1/7/2026,FER027,1,,VIABILITY--STATE_MOD,0.069026312
1/7/2026,FER027,2,,VIABILITY--STATE_MOD,0.113731505
1/7/2026,FER027,3,,VIABILITY--STATE_MOD,0.166623443
1/7/2026,FER027,4,,VIABILITY--STATE_MOD,0.187579816
1/7/2026,FER027,5,,VIABILITY--STATE_MOD,-0.016839083
1/7/2026,FER027,6,,VIABILITY--STATE_MOD,0.081720842
1/7/2026,FER027,7,,VIABILITY--STATE_MOD,0.063412252
1/7/2026,FER027,8,,VIABILITY--STATE_MOD,0.031961293
1/7/2026,FER027,9,,VIABILITY--STATE_MOD,0.105841901
1/7/2026,FER027,10,,VIABILITY--STATE_MOD,0.081318905
1/7/2026,FER027,11,,VIABILITY--STATE_MOD,0.092666987
1/7/2026,FER027,12,,VIABILITY--STATE_MOD,0.066138442
1/7/2026,FER027,13,,VIABILITY--STATE_MOD,0.048341188
1/7/2026,FER027,14,,VIABILITY--STATE_MOD,-0.033262329
1/7/2026,FER027,0,,GLUTAMATE--STATE_MOD,0
1/7/2026,FER027,1,,GLUTAMATE--STATE_MOD,-0.149873139
1/7/2026,FER027,2,,GLUTAMATE--STATE_MOD,-0.087641504
1/7/2026,FER027,3,,GLUTAMATE--STATE_MOD,0.123046669
1/7/2026,FER027,4,,GLUTAMATE--STATE_MOD,0.268330067
1/7/2026,FER027,5,,GLUTAMATE--STATE_MOD,0.126423339
1/7/2026,FER027,6,,GLUTAMATE--STATE_MOD,-0.027236874
