,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
89,AR25-064-009,14,7135.696817930006,10.35254610144991,83.65835219918579,6.812156515803644,9.361339138761554,0.0,35.0,7.1
90,AR25-064-011,0,73.8954,1.2059,97.7,2.77,0.74,0.0,36.5,7.1
91,AR25-064-011,1,33.57856455470751,3.6983285318271766,97.84093064319653,2.90527159369004,1.2511908182252154,0.0,36.5,7.1
92,AR25-064-011,2,93.7361996235039,6.073708122443527,97.98088440609014,3.0979937129135298,1.8629803166332568,0.0,36.5,7.1
93,AR25-064-011,3,248.31008513144755,8.295184099336229,98.02611302033023,3.3531588771740615,2.552366883499508,0.040733198,36.5,7.1
94,AR25-064-011,4,487.76803227887797,9.967270197034543,97.85435842613487,3.781506626760993,3.4052548062055346,0.0,36.5,7.1
95,AR25-064-011,5,828.6101875542344,12.042290495262474,96.97139131433055,4.278363611853655,4.1684269157212075,0.0,35.0,7.1
96,AR25-064-011,6,1417.1305042611689,13.933598520409246,96.07059047589571,4.611879789229473,4.896122924911421,0.051322336,35.0,7.1
97,AR25-064-011,7,2095.949026228749,15.018466324568033,95.2626749819405,5.040318125130226,5.829745949614365,0.0,35.0,7.1
98,AR25-064-011,8,2834.9119153122438,16.238748823310445,94.05669564682994,5.384346907182015,6.589967480389877,0.050264143,35.0,7.1
99,AR25-064-011,9,3627.082610105347,16.55002681932735,92.84900915397246,5.807412634536427,7.487866181917237,0.0,35.0,7.1
100,AR25-064-011,10,4444.0426884872895,16.92609663662538,91.15391474940522,6.139085981539013,8.157578580022502,0.0442901,35.0,7.1
101,AR25-064-011,11,5284.805529995752,16.44921832231407,89.36275927555434,6.532872462998312,8.902156522026942,0.0,35.0,7.1
102,AR25-064-011,12,6128.282940962768,16.01923273319255,87.05436583597654,6.841594453694971,9.408114248184246,0.038773177,35.0,7.1
103,AR25-064-011,13,6979.319692126731,14.867825535236122,84.5868550569386,7.202007015714108,9.952903391690787,0.0,35.0,7.1
104,AR25-064-011,14,7825.674422254228,13.81112913801224,81.61125313751843,7.485746129763926,10.273564093806058,0.0,35.0,7.1
105,AR25-064-012,0,75.18855,2.3579,98.9,2.7999999999999994,0.7,0.0,36.5,7.1
106,AR25-064-012,1,96.22460197562579,4.949110840489089,99.59933859105607,2.84269571662013,1.352193051163084,0.0,36.5,7.1
107,AR25-064-012,2,161.73401401578582,7.05138481770638,100.421391687797,2.8865146897180947,2.0272227701714285,0.0,36.5,7.1
108,AR25-064-012,3,238.26492913446907,8.609743631659201,101.23880890364674,2.9359290782242566,2.6690342064511965,0.040735325,36.5,7.1
109,AR25-064-012,4,293.95230922365903,9.257941301615524,101.88716869665531,3.107948492494381,3.3396110997339927,0.0,36.5,7.1
110,AR25-064-012,5,331.4375694931086,10.02849648859846,101.82479243058991,3.3113574362154052,3.7751180703129847,0.0,35.0,7.1
111,AR25-064-012,6,494.59490761321587,10.464082666695527,101.69654235438551,3.3346641723977832,4.035808485071116,0.051023065,35.0,7.1
112,AR25-064-012,7,637.2536637352375,10.116005289815165,101.56831730715611,3.4615450738870797,4.386849636692942,0.0,35.0,7.1
113,AR25-064-012,8,754.8612759594673,10.11930220220207,100.91534277593453,3.5436407528417058,4.493873621436798,0.049964311,35.0,7.1
114,AR25-064-012,9,879.9519503289557,9.64535702845982,100.1074351894245,3.774795873186288,4.72555000670654,0.0,35.0,7.1
115,AR25-064-012,10,1035.6947073735978,9.861323109544948,98.65328188355247,4.015422629664474,4.7903385406838,0.043975813,35.0,7.1
116,AR25-064-012,11,1280.9818672753167,10.020953236787,96.95093409298278,4.443073763337669,5.068366657834759,0.0,35.0,7.1
117,AR25-064-012,12,1658.2443883717583,11.126874296310039,94.60869351388763,4.9288469352398465,5.326816633339966,0.038416076,35.0,7.1
118,AR25-064-012,13,2233.3204322658466,12.450426827993363,92.0240201802142,5.615067623301837,5.910591253333237,0.0,35.0,7.1
119,AR25-064-012,14,3046.3056091509884,14.74382601878054,88.90417512488989,6.368911983699345,6.6114635767075765,0.0,35.0,7.1
120,AR25-064-014,0,85.3305,1.0745,98.9,2.7999999999999994,0.72,0.0,36.5,7.0
121,AR25-064-014,1,51.605197826308064,3.5733862511828556,98.98667105896415,2.9079078425099225,1.2315021354977524,0.0,36.5,7.0
122,AR25-064-014,2,110.75793433111252,5.892495409816559,99.1152034418762,3.061427946583999,1.8346432392591214,0.0,36.5,7.0
123,AR25-064-014,3,250.33085673738364,7.981672613606151,99.18887730667883,3.2638856928296063,2.498382709954495,0.040735325,36.5,7.0
124,AR25-064-014,4,454.54843237088767,9.440002255415612,99.08011221906709,3.625537734480948,3.3013225460238846,0.0,36.5,7.0
125,AR25-064-014,5,734.5603902144323,11.224212425983481,98.28734477075395,4.04264810164596,3.9846379403453454,0.0,35.0,7.0
126,AR25-064-014,6,1232.9505853884878,12.762811949997063,97.49526245241941,4.285881380223385,4.599630449443102,0.051359992,35.0,7.0
127,AR25-064-014,7,1790.936876793692,13.45869353178621,96.80525808379869,4.617664778614463,5.388270086058272,0.0,35.0,7.0
128,AR25-064-014,8,2379.8260670089217,14.290173003842568,95.71704581489563,4.864013240067313,5.975405278444638,0.050295099,35.0,7.0
