Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-011,13,6045.829608,15.13541198,89.08273158,18.19936362,10.89872686,7.696932387,0,35,7.1
MPC25-001-011,14,6929.633804,14.59787656,86.29517019,18.37176148,11.66598143,7.089354107,0,35,7.1
MPC25-001-012,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,6.9
MPC25-001-012,1,62.17045891,2.801270473,98.2236,15.49701877,1.225749199,2.701689291,0,36.5,6.9
MPC25-001-012,2,95.01778761,4.195953602,97.83835117,15.77666174,1.822267622,2.820459915,0,36.5,6.9
MPC25-001-012,3,207.6147128,5.752109873,97.46271156,16.07511771,2.467703916,3.423240426,0.042434169,36.5,6.9
MPC25-001-012,4,436.0413553,8.233710642,97.43923848,16.0184251,2.842804764,4.430604191,0,36.5,6.9
MPC25-001-012,5,804.2171022,10.87575124,96.97434842,16.01246232,3.276498004,5.622342563,0,36.5,6.9
MPC25-001-012,6,1279.058163,13.82560484,96.46816093,15.93783487,3.862455091,7.022033675,0.053031757,35,6.9
MPC25-001-012,7,1945.88469,16.23048282,96.00469566,15.51947546,4.23689003,7.197216357,0,35,6.9
MPC25-001-012,8,2602.661617,17.50762128,94.71627544,16.02113419,5.272964927,6.722801307,0.053633643,35,6.9
MPC25-001-012,9,3255.288691,18.44289335,93.5542749,16.77043945,6.541589497,6.347425475,0,35,6.9
MPC25-001-012,10,3967.549735,18.09061127,91.63614198,17.88624049,8.253138919,6.531082831,0.048951202,35,6.9
MPC25-001-012,11,4746.927568,17.74114135,89.99591064,18.4809414,9.897554006,7.487077473,0,35,6.9
MPC25-001-012,12,5616.141463,16.81714067,87.82716819,18.85121555,11.71151241,8.795977927,0.0438877,35,6.9
MPC25-001-012,13,6531.725475,16.39823038,85.95105054,18.66392646,13.36778723,9.953302532,0,35,6.9
MPC25-001-012,14,7481.651854,15.62674936,83.47152868,18.64181544,15.17491329,10.36685342,0,35,6.9
MPC25-001-013,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,6.9
MPC25-001-013,1,62.17045891,2.801270473,98.2236,15.49701877,1.225749199,2.701689291,0,36.5,6.9
MPC25-001-013,2,95.01778761,4.195953602,97.83835117,15.77666174,1.822267622,2.820459915,0,36.5,6.9
MPC25-001-013,3,207.6147128,5.752109873,97.46271156,16.07511771,2.467703916,3.423240426,0.032369717,36.5,6.9
MPC25-001-013,4,433.1989035,8.087704943,97.36646333,16.06508489,2.913618551,4.463495221,0,36.5,6.9
MPC25-001-013,5,791.7663232,10.64899681,96.9499484,16.04368565,3.422422751,5.737439496,0,36.5,6.9
MPC25-001-013,6,1256.55199,13.55321926,96.51765199,15.94132472,4.094488311,7.206806238,0.040602245,35,6.9
MPC25-001-013,7,1908.450507,15.76250261,96.0591668,15.5621336,4.661557424,7.461890028,0,35,6.9
MPC25-001-013,8,2541.156185,16.94444568,94.94059477,16.05075945,5.919394335,7.103345712,0.041278175,35,6.9
